run_id,model,strategy,target_prevalence,feature,importance
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,receiver_unique_counterparties_30d,0.027048002354257816
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,receiver_cross_bank_ratio_30d,0.04131714900596361
random_forest__baseline__p005__20260404_134339,random_forest,baseline,0.005,receiver_entity_type,0.014374252076016883
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,amount_paid,0.07177997997461782
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,amount_received,0.06933167482610286
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,payment_format,0.018798221184555562
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,payment_currency,0.02100377295348659
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,hour,0.04192087181397926
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,day_of_week,0.030052838945699625
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,same_bank_flag,0.001223960737737259
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,self_transfer_flag,0.0008747646089439756
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,currency_mismatch,7.290447680629333e-05
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,amount_ratio,4.8463947018039685e-05
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,fan_in_score,0.04632807163247096
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,fan_out_score,0.0197141686660472
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,sender_tx_count_1d,0.026844042335144928
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,sender_tx_count_7d,0.03437277007669712
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,sender_tx_count_30d,0.044587102900901225
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,sender_avg_amount_7d,0.0600968075413743
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,sender_avg_amount_30d,0.08686876100005655
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,sender_unique_counterparties_7d,0.018905120667853437
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,sender_unique_counterparties_30d,0.019564644290567042
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,sender_cross_bank_ratio_30d,0.027229794745355727
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,sender_entity_type,0.013852966323986781
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,receiver_tx_count_1d,0.026572758211695545
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,receiver_tx_count_7d,0.032677157656191766
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,receiver_tx_count_30d,0.052568398088306705
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,receiver_avg_amount_7d,0.064617125378471
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,receiver_avg_amount_30d,0.06771674774351412
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,receiver_unique_counterparties_7d,0.019636705836180067
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,receiver_unique_counterparties_30d,0.027048002354257816
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,receiver_cross_bank_ratio_30d,0.04131714900596361
random_forest__baseline__p010__20260404_132609,random_forest,baseline,0.01,receiver_entity_type,0.014374252076016883
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,amount_paid,0.03327088701042851
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,amount_received,0.03766532779557595
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,payment_format,0.21155595147148087
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,payment_currency,0.007427008707075842
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,hour,0.025766188782262174
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,day_of_week,0.013881680557974228
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,same_bank_flag,0.011604283191561055
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,self_transfer_flag,0.009497326093461583
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,currency_mismatch,0.0016073398009341167
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,amount_ratio,0.00045434263769896573
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,fan_in_score,0.07321021148495753
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,fan_out_score,0.030748114772662635
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,sender_tx_count_1d,0.04318913780665579
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,sender_tx_count_7d,0.09825597855792155
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,sender_tx_count_30d,0.07080084989533325
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,sender_avg_amount_7d,0.021026524230196134
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,sender_avg_amount_30d,0.029891385884603758
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,sender_unique_counterparties_7d,0.026511375584059933
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,sender_unique_counterparties_30d,0.022429002039744215
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,sender_cross_bank_ratio_30d,0.032903988834090896
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,sender_entity_type,0.005005282964689575
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,receiver_tx_count_1d,0.014274954987354854
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,receiver_tx_count_7d,0.041631122796874746
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,receiver_tx_count_30d,0.04066710400698463
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,receiver_avg_amount_7d,0.02311417145928074
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,receiver_avg_amount_30d,0.021054285518451517
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,receiver_unique_counterparties_7d,0.011594159373875373
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,receiver_unique_counterparties_30d,0.013359558631110722
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,receiver_cross_bank_ratio_30d,0.02256001990500149
random_forest__class_weighting__p001__20260407_153534,random_forest,class_weighting,0.001,receiver_entity_type,0.005042435217697272
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,amount_paid,0.04292602012795355
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,amount_received,0.05123830083691514
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,payment_format,0.15261606299859798
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,payment_currency,0.012271066252578422
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,hour,0.034379977929891115
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,day_of_week,0.024230931556800926
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,same_bank_flag,0.010963044266405632
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,self_transfer_flag,0.009699356468302438
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,currency_mismatch,0.0005890340050611314
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,amount_ratio,0.00028263962486737437
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,fan_in_score,0.05514178413622763
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,fan_out_score,0.021380898427173972
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,sender_tx_count_1d,0.03635063815742202
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,sender_tx_count_7d,0.063849928677835
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,sender_tx_count_30d,0.0645385159152829
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,sender_avg_amount_7d,0.032718579016712976
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,sender_avg_amount_30d,0.04162158902193024
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,sender_unique_counterparties_7d,0.021083820289683114
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,sender_unique_counterparties_30d,0.02224040046713711
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,sender_cross_bank_ratio_30d,0.03236819306653393
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,sender_entity_type,0.009095132302260755
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,receiver_tx_count_1d,0.02460997503615982
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,receiver_tx_count_7d,0.041288027097255965
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,receiver_tx_count_30d,0.04473812813315762
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,receiver_avg_amount_7d,0.03501773725012498
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,receiver_avg_amount_30d,0.03651449691062138
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,receiver_unique_counterparties_7d,0.01812284452188112
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,receiver_unique_counterparties_30d,0.02055529234699409
random_forest__class_weighting__p005__20260407_151823,random_forest,class_weighting,0.005,receiver_cross_bank_ratio_30d,0.031204003196764706
